variant,variant_status,dataset,in_domain,images,map50,map50_95,precision,recall,ds_status,delta_map50_95,delta_label
baseline,ok,pio_val,True,452,0.8997,0.71024,0.95845,0.88788,ok,0.0,baseline
baseline,ok,broiler_instance_seg,False,200,0.81072,0.53553,0.8193,0.76952,ok,0.0,baseline
baseline,ok,chicken_detection_fum,False,326,0.13375,0.05823,0.56592,0.144,ok,0.0,baseline
mowa_1pass,ok,pio_val,True,452,0.89734,0.6383,0.96001,0.87802,ok,-0.07194,worse
mowa_1pass,ok,broiler_instance_seg,False,200,0.77769,0.45645,0.79172,0.74709,ok,-0.07908,worse
mowa_1pass,ok,chicken_detection_fum,False,326,0.1253,0.0491,0.49998,0.14092,ok,-0.00913,worse
mowa_1pass_ft,ok,pio_val,True,452,0.90817,0.68332,0.96367,0.89086,ok,-0.02692,worse
mowa_1pass_ft,ok,broiler_instance_seg,False,200,0.85578,0.52984,0.8805,0.83261,ok,-0.00569,worse
mowa_1pass_ft,ok,chicken_detection_fum,False,326,0.13493,0.05823,0.50945,0.1496,ok,0.0,neutral
mowa_coarse,ok,pio_val,True,452,0.89631,0.63537,0.96021,0.87529,ok,-0.07487,worse
mowa_coarse,ok,broiler_instance_seg,False,200,0.78442,0.46699,0.79629,0.76105,ok,-0.06854,worse
mowa_coarse,ok,chicken_detection_fum,False,326,0.12313,0.04898,0.52241,0.13795,ok,-0.00925,worse
mowa_alpha05,ok,pio_val,True,452,0.88921,0.66002,0.96065,0.8767,ok,-0.05022,worse
mowa_alpha05,ok,broiler_instance_seg,False,200,0.79163,0.47331,0.78914,0.7657,ok,-0.06222,worse
mowa_alpha05,ok,chicken_detection_fum,False,326,0.13047,0.0534,0.51467,0.14555,ok,-0.00483,neutral
mowa_pad015,ok,pio_val,True,452,0.88759,0.61464,0.95274,0.87541,ok,-0.0956,worse
mowa_pad015,ok,broiler_instance_seg,False,200,0.88412,0.59606,0.92633,0.85338,ok,0.06053,better
mowa_pad015,ok,chicken_detection_fum,False,326,0.12654,0.04958,0.51366,0.14174,ok,-0.00865,worse
mowa_coarse_sam,ok,pio_val,True,452,0.89827,0.55453,0.95946,0.88124,ok,-0.15571,worse
mowa_coarse_sam,ok,broiler_instance_seg,False,200,0.79265,0.49495,0.81114,0.75343,ok,-0.04058,worse
mowa_coarse_sam,ok,chicken_detection_fum,False,326,0.14201,0.08342,0.52558,0.15759,ok,0.02519,better
